sensor0;sensor1;sensor2;sensor3;sensor4;left;up;right
0.9660230875015259;2.736027956008911;0.45809319615364075;1.45257568359375;5.0;0.0;1.0;0.0
0.923849880695343;2.8593170642852783;0.44990259408950806;1.4441150426864624;5.0;0.0;1.0;0.0
0.9216057658195496;2.825218439102173;0.44953200221061707;1.43783438205719;5.0;0.0;1.0;0.0
0.9148866534233093;2.8086636066436768;0.45116865634918213;1.4510258436203003;5.0;0.0;1.0;0.0
0.8902097940444946;2.7927439212799072;0.42464709281921387;1.4938567876815796;0.7955936789512634;0.0;1.0;0.0
0.8351387977600098;2.7985453605651855;0.3793206512928009;1.504390835762024;0.709449827671051;0.0;1.0;0.0
0.7557705640792847;2.939815044403076;0.3437455892562866;1.5594531297683716;0.6477723717689514;1.0;0.0;0.0
0.6335808634757996;3.0800719261169434;0.3061830699443817;1.5694565773010254;0.6085186004638672;1.0;0.0;0.0
0.5993493795394897;3.082364082336426;0.28136301040649414;1.6230825185775757;0.5220022201538086;1.0;0.0;0.0
0.626848578453064;2.7935051918029785;0.26830893754959106;1.6595821380615234;0.41647565364837646;1.0;0.0;0.0
0.692665159702301;2.567003011703491;0.24196362495422363;1.6911249160766602;0.3449724018573761;1.0;0.0;0.0
0.9372891187667847;2.2977209091186523;0.2265695482492447;1.7688168287277222;0.2832092046737671;1.0;0.0;0.0
1.5497936010360718;2.1333813667297363;0.2057841271162033;1.850737452507019;0.2511473298072815;1.0;0.0;0.0
5.0;2.014991044998169;0.20989853143692017;1.931883692741394;0.23584677278995514;1.0;0.0;0.0
5.0;1.9127765893936157;0.23021800816059113;2.0347187519073486;0.19946610927581787;1.0;0.0;0.0
5.0;1.820824146270752;0.24678362905979156;2.2034828662872314;0.1959235668182373;1.0;0.0;0.0
5.0;1.786163330078125;0.2837001383304596;2.4204235076904297;0.1959935575723648;1.0;0.0;0.0
5.0;1.7499935626983643;0.2902277708053589;2.624008893966675;0.20733524858951569;0.0;1.0;0.0
5.0;1.704278588294983;0.3630562424659729;2.8640358448028564;0.2161969244480133;0.0;1.0;0.0
3.325469970703125;1.653934359550476;0.4930373430252075;2.9679806232452393;0.2293248176574707;0.0;1.0;0.0
2.9095089435577393;1.623771071434021;0.656292200088501;3.0532472133636475;0.292648047208786;0.0;1.0;0.0
2.763822317123413;1.5634812116622925;0.8069332838058472;3.0776374340057373;0.3242768347263336;0.0;1.0;0.0
2.6684577465057373;1.5077264308929443;0.9425095915794373;3.0872011184692383;0.39217761158943176;0.0;1.0;0.0
2.540771007537842;1.4594489336013794;1.097411870956421;3.132814645767212;0.4274018108844757;0.0;1.0;0.0
2.4455692768096924;1.4243700504302979;1.2390178442001343;3.127328634262085;0.5010654926300049;0.0;1.0;0.0
2.3301453590393066;1.3282221555709839;1.3956692218780518;3.1699788570404053;0.5695764422416687;0.0;1.0;0.0
2.2303974628448486;1.2756990194320679;1.5021995306015015;3.0329627990722656;0.6255401372909546;0.0;1.0;0.0
2.129500150680542;1.2397867441177368;1.6539963483810425;2.893216848373413;0.6795167326927185;0.0;0.0;1.0
2.000636100769043;1.158887505531311;1.8501182794570923;2.858431100845337;0.7199894189834595;0.0;0.0;1.0
2.084373950958252;1.1109604835510254;1.7295788526535034;2.4722063541412354;0.7855454087257385;0.0;0.0;1.0
2.1166610717773438;1.0785670280456543;1.7259953022003174;2.30469012260437;0.8091763257980347;0.0;0.0;1.0
2.445993423461914;1.0737329721450806;1.540475606918335;1.9181727170944214;0.8487312197685242;0.0;0.0;1.0
3.023223400115967;1.0458579063415527;1.3505096435546875;1.6278905868530273;0.8589555621147156;0.0;0.0;1.0
